DATE,VALUE
2000/7/9,7.14
2000/7/16,7.23
2000/7/23,7.21
2000/7/30,7.23
2000/8/6,7.11
2000/8/13,7.02
2000/8/20,7.08
2000/8/27,6.97
2000/9/3,6.96
2000/9/10,7.02
2000/9/17,7.03
2000/9/24,7
2000/10/1,6.89
2000/10/8,7.01
2000/10/15,6.93
2000/10/22,6.79
2000/10/29,6.81
2000/11/5,6.88
2000/11/12,6.94
2000/11/19,6.83
2000/11/26,6.81
2000/12/3,6.64
2000/12/10,6.34
2000/12/17,6.17
2000/12/24,6.05
2000/12/31,6.13
2001/1/7,5.9
2001/1/14,6.12
2001/1/21,6.01
2001/1/28,6.13
2001/2/4,5.95
2001/2/11,5.98
2001/2/18,6.09
2001/2/25,6.07
2001/3/4,5.8
2001/3/11,5.85
2001/3/18,5.7
2001/3/25,5.71
2001/4/1,5.86
2001/4/8,5.8
2001/4/15,6.01
2001/4/22,6.06
2001/4/29,6.09
2001/5/6,5.95
2001/5/13,6.21
2001/5/20,6.16
2001/5/27,6.28
2001/6/3,6.12
2001/6/10,6.11
2001/6/17,6.06
2001/6/24,6
2001/7/1,6.31
2001/7/8,6.24
2001/7/15,6.12
2001/7/22,5.93
2001/7/29,5.9
2001/8/5,5.98
2001/8/12,5.83
2001/8/19,5.73
2001/8/26,5.79
2001/9/2,5.66
2001/9/9,5.56
2001/9/16,5.45
2001/9/23,5.41
2001/9/30,5.23
2001/10/7,5.17
2001/10/14,5.39
2001/10/21,5.24
2001/10/28,5.23
2001/11/4,4.97
2001/11/11,4.87
2001/11/18,5.43
2001/11/25,5.64
2001/12/2,5.46
2001/12/9,5.92
2001/12/16,5.88
2001/12/23,5.87
2001/12/30,5.93
2002/1/6,5.91
2002/1/13,5.63
2002/1/20,5.67
2002/1/27,5.79
2002/2/3,5.71
2002/2/10,5.65
2002/2/17,5.59
2002/2/24,5.55
2002/3/3,5.63
2002/3/10,5.98
2002/3/17,6.09
2002/3/24,6.05
2002/3/31,6.06
2002/4/7,5.88
2002/4/14,5.84
2002/4/21,5.84
2002/4/28,5.65
2002/5/5,5.61
2002/5/12,5.74
2002/5/19,5.76
2002/5/26,5.64
2002/6/2,5.57
2002/6/9,5.55
2002/6/16,5.35
2002/6/23,5.3
2002/6/30,5.38
2002/7/7,5.37
2002/7/14,5.15
2002/7/21,5.1
2002/7/28,5.04
2002/8/4,5
2002/8/11,4.86
2002/8/18,4.84
2002/8/25,4.79
2002/9/1,4.68
2002/9/8,4.53
2002/9/15,4.48
2002/9/22,4.36
2002/9/29,4.38
2002/10/6,4.36
2002/10/13,4.39
2002/10/20,4.86
2002/10/27,4.69
2002/11/3,4.59
2002/11/10,4.31
2002/11/17,4.57
2002/11/24,4.65
2002/12/1,4.71
2002/12/8,4.56
2002/12/15,4.5
2002/12/22,4.43
2002/12/29,4.32
2003/1/5,4.5
2003/1/12,4.63
2003/1/19,4.45
2003/1/26,4.33
2003/2/2,4.42
2003/2/9,4.41
